"column","n","missing","mean","median","sd","min","q1","q3","max","iqr","skewness"
"rank",2640,0,1289.15909090911,1312,739.693725518704,1,659,1905,2540,1246,-0.00635022146172196
"net_worth",2640,0,4623.78787878774,2300,9834.24093942032,1000,1500,4200,211000,2700,10.0009925041033
"age",2575,65,65.1401941747573,65,13.2580976106843,18,56,75,101,19,-0.0779679707722716
"birthYear",2564,76,1957.18330733229,1957,13.2825156733096,1921,1948,1966,2004,18,0.0870410474032464
"birthMonth",2564,76,5.7402496099844,6,3.71008507559368,1,2,9,12,7,0.150315143701079
"birthDay",2564,76,12.0998439937597,11,9.9188757799088,1,1,21,31,20,0.337887592333469
"cpi_country",2456,184,127.755203583062,117.24,26.4529510948892,99.55,117.24,125.08,288.57,7.84,2.57249687269389
"cpi_change_country",2456,184,4.36416938110749,2.9,3.62376332753492,-1.9,1.7,7.5,53.5,5.8,4.30208094708719
"gdp_country",2476,164,11582873303921.6,1.991e+13,9575588391938.27,3154057987,1736425629520,2.14277e+13,2.14277e+13,19691274370480,-0.0779580155542011
"gross_tertiary_education_enrollment",2458,182,67.2256712774614,65.6,21.3434260518265,4,50.6,88.2,136.6,37.6,-0.225630003393373
"gross_primary_education_enrollment_country",2459,181,102.858519723465,101.8,4.71097730466738,84.7,100.2,102.6,142.1,2.39999999999999,2.31496122716227
"life_expectancy_country",2458,182,78.1228234336859,78.5,3.73009898300619,54.3,77,80.9,84.2,3.90000000000001,-1.03605314252007
"tax_revenue_country_country",2457,183,12.5462352462352,9.6,5.3686252128368,0.1,9.6,12.8,37.2,3.2,1.61222644074889
"total_tax_rate_country",2458,182,43.963344182262,41.2,12.1452957190722,9.9,36.6,59.1,106.3,22.5,0.210629387727657
"population_country",2476,164,510205317.839256,328239523,554244732.364653,38019,66834405,1366417754,1397715000,1299583349,0.863954805476731
"latitude_country",2476,164,34.9035915360662,37.09024,17.0034968661278,-40.900557,35.86166,40.463667,61.92411,4.602007,-1.73035980508174
"longitude_country",2476,164,12.5831557950727,10.451526,86.7629894088924,-106.346771,-95.712891,104.195397,174.885971,199.908288,-0.145896884742252
"selfMade_numeric",2640,0,0.686363636363636,1,0.464058366021241,0,0,1,1,1,-0.80288626482216
"gdp_country_numeric",2476,164,11582873303921.6,1.991e+13,9575588391938.27,3154057987,1736425629520,2.14277e+13,2.14277e+13,19691274370480,-0.0779580155542011
"log_net_worth",2640,0,7.93041985871972,7.74066440191724,0.820880897957083,6.90775527898214,7.3132203870903,8.34283980427146,12.2596134124582,1.02961941718116,1.31822045101755
"log_cpi_country",2456,184,4.83337904815894,4.76422311584269,0.172706387742209,4.60066003051021,4.76422311584269,4.82895353258964,5.66493769083263,0.0647304167469498,1.96183042115387
"log_cpi_change_country",2456,184,1.87948693393476,1.75785791755237,0.461406013824059,0,1.52605630349505,2.34180580614733,4.03246915850401,0.81574950265228,-0.298661121475195
"log_gross_primary_education_enrollment_country",2459,181,4.63236882606916,4.62301010411642,0.0437616309612514,4.43911560165801,4.60716818865076,4.63083793273667,4.95653103510305,0.0236697440859102,1.95677693494822
"exp_life_expectancy_country",2458,182,2.23494331937098,2.24648000391815,0.263862254286552,1,2.13656056702872,2.43423394896548,2.71828182845905,0.29767338193676,-0.508346652213646
"exp_latitude_country",2476,164,2.11637780665119,2.13503564342999,0.309549801775796,1,2.10967739208507,2.20624264256544,2.71828182845905,0.0965652504803698,-0.943886011689013
"log_log_net_worth",2640,0,2.06571634275269,2.04648752395858,0.0982937972920061,1.93264473391607,1.98968372217963,2.12140366252158,2.50631039758499,0.13171994034195,0.989936505011815
